asset_id,district,feeder_type,customer_mix,asset_age_years,capacity_kva,avg_load_pct_90d,max_load_pct_90d,outage_count_12m,inspection_score,oil_temperature_c,critical_customers_nearby,maintenance_cost_estimate,failure_next_90d
TR00319,Bang Kho Laem,Underground,Industrial,10,1500,83,101,4,49,85,5,130956,1
TR00320,Lat Phrao,Overhead,Commercial,14,1500,83,104,3,51,77,7,153145,1
TR00321,Bang Kho Laem,Overhead,Residential,6,1000,78,101,3,69,73,3,92096,0
TR00322,Khlong Toei,Overhead,Mixed,23,250,92,109,4,43,75,4,113387,1
TR00323,Bang Khen,Mixed,Residential,15,250,68,93,2,68,75,13,112272,0
TR00324,Thon Buri,Mixed,Mixed,13,1500,79,101,3,41,84,3,88431,0
TR00325,Lat Phrao,Overhead,Government,17,1500,77,102,2,62,80,6,121029,0
TR00326,Bang Khen,Underground,Industrial,27,1000,87,109,4,38,87,4,147437,1
TR00327,Bang Kapi,Mixed,Government,28,750,77,97,6,46,69,2,155063,1
TR00328,Khlong Toei,Mixed,Mixed,9,2000,60,73,1,78,83,7,97467,1
TR00329,Thon Buri,Underground,Commercial,24,1500,88,93,1,66,92,11,121637,1
TR00330,Bang Kapi,Underground,Government,23,2000,66,90,1,51,73,6,149553,0
TR00331,Lat Phrao,Mixed,Commercial,11,1000,78,99,2,58,78,0,120804,0
TR00332,Khlong Toei,Mixed,Commercial,22,750,59,68,0,63,84,1,108652,0
TR00333,Phaya Thai,Underground,Industrial,18,500,61,86,0,68,80,13,113516,0
TR00334,Thon Buri,Overhead,Residential,6,250,68,85,1,76,69,7,81268,0
TR00335,Bang Kho Laem,Underground,Commercial,7,750,41,59,1,73,73,4,85436,0
TR00336,Bang Kho Laem,Mixed,Mixed,14,1500,76,93,1,89,87,6,109580,0
TR00337,Din Daeng,Overhead,Commercial,21,500,75,93,0,68,74,0,96875,0
TR00338,Khlong Toei,Underground,Industrial,10,250,68,72,3,66,79,1,66796,1
TR00339,Bang Kho Laem,Underground,Commercial,2,250,40,69,0,72,73,2,104906,0
TR00340,Khlong Toei,Mixed,Industrial,10,1500,66,89,3,80,81,3,91444,0
TR00341,Bang Kho Laem,Overhead,Government,22,1500,48,77,4,52,75,6,128689,0
TR00342,Bang Kapi,Underground,Government,10,1500,73,99,2,66,73,11,122994,0
TR00343,Bang Kho Laem,Overhead,Industrial,6,750,52,58,0,73,68,9,59210,0
TR00344,Bang Kapi,Mixed,Commercial,12,500,76,104,6,54,76,4,131964,0
TR00345,Bang Kho Laem,Mixed,Residential,19,250,113,123,3,43,75,3,151643,1
TR00346,Bang Khen,Underground,Industrial,18,250,78,95,1,54,79,0,111360,0
TR00347,Thon Buri,Overhead,Mixed,1,1000,74,98,3,54,74,5,115198,0
TR00348,Lat Phrao,Mixed,Commercial,6,1000,65,85,2,63,77,4,133541,0
TR00349,Phaya Thai,Underground,Industrial,10,1000,101,110,2,64,86,0,126366,0
TR00350,Bang Kapi,Underground,Residential,16,2000,50,64,4,58,70,7,132685,0
TR00351,Bang Khen,Mixed,Mixed,16,2000,61,73,2,52,72,3,111451,0
TR00352,Bang Kho Laem,Underground,Residential,16,1000,63,64,1,65,87,0,119495,0
TR00353,Bang Kapi,Mixed,Residential,17,250,94,105,1,90,79,4,117574,0
TR00354,Bang Kapi,Underground,Residential,9,750,93,107,4,47,81,3,109099,1
TR00355,Phaya Thai,Underground,Government,14,500,65,76,2,62,84,5,132762,0
TR00356,Khlong Toei,Mixed,Government,5,1500,68,85,1,68,72,0,115673,0
TR00357,Din Daeng,Mixed,Industrial,4,1000,64,96,4,77,67,1,118665,0
TR00358,Khlong Toei,Overhead,Industrial,8,500,52,90,1,65,71,5,132504,0
TR00359,Phaya Thai,Overhead,Mixed,12,500,64,97,2,47,76,9,113207,0
TR00360,Din Daeng,Underground,Mixed,6,1000,48,64,1,81,65,0,99091,0
TR00361,Bang Khen,Overhead,Government,7,500,79,97,5,64,84,2,148082,0
TR00362,Bang Khen,Underground,Industrial,12,2000,69,77,1,71,81,4,95878,0
TR00363,Bang Kapi,Overhead,Mixed,14,500,76,90,0,64,84,2,123365,0
TR00364,Bang Khen,Underground,Commercial,2,2000,73,93,0,75,70,12,95637,0
TR00365,Phaya Thai,Underground,Commercial,10,1000,42,40,0,86,61,2,89409,0
TR00366,Bang Khen,Mixed,Industrial,17,1000,72,86,0,76,78,5,136166,0
TR00367,Phaya Thai,Overhead,Government,5,250,67,84,1,81,72,0,98386,0
TR00368,Lat Phrao,Underground,Government,8,1000,66,103,3,68,76,2,117529,0
TR00369,Din Daeng,Underground,Mixed,8,500,67,94,2,71,70,3,134513,0
TR00370,Khlong Toei,Overhead,Commercial,15,2000,63,86,4,65,77,4,135125,0
TR00371,Din Daeng,Underground,Government,17,1000,59,91,0,60,76,4,107255,0
TR00372,Thon Buri,Mixed,Industrial,21,500,96,112,4,49,86,0,130947,1
TR00373,Phaya Thai,Underground,Industrial,17,2000,63,92,2,59,71,2,124294,0
TR00374,Bang Khen,Overhead,Government,12,750,62,50,3,81,80,0,133707,0
TR00375,Bang Kho Laem,Overhead,Residential,16,2000,87,97,2,38,76,3,170103,0
TR00376,Bang Khen,Overhead,Mixed,26,2000,84,91,1,45,84,5,157636,1
TR00377,Bang Kho Laem,Underground,Government,19,750,93,124,3,65,87,3,133150,1
TR00378,Thon Buri,Underground,Commercial,11,1000,83,96,4,71,94,0,130863,0
TR00379,Bang Kapi,Mixed,Mixed,12,1000,71,96,0,75,72,6,86245,0
TR00380,Thon Buri,Overhead,Industrial,14,1000,91,111,2,54,79,0,121139,0
TR00381,Bang Khen,Underground,Commercial,6,1000,103,103,2,76,85,13,109932,1
TR00382,Din Daeng,Mixed,Government,16,500,79,99,4,44,73,8,116767,1
TR00383,Phaya Thai,Overhead,Mixed,22,750,72,81,2,51,84,11,115431,0
TR00384,Phaya Thai,Mixed,Mixed,1,2000,63,80,1,88,71,3,73070,0
TR00385,Din Daeng,Underground,Mixed,26,1000,77,104,4,66,71,3,170678,0
TR00386,Phaya Thai,Mixed,Commercial,2,2000,80,94,1,78,76,4,112858,0
TR00387,Thon Buri,Mixed,Industrial,9,750,93,105,2,81,77,0,78574,0
TR00388,Bang Kho Laem,Mixed,Mixed,27,500,78,101,3,46,75,3,133755,0
TR00389,Lat Phrao,Mixed,Commercial,14,1500,92,126,2,77,80,13,150298,1
TR00390,Bang Kapi,Overhead,Government,15,750,69,89,0,70,73,3,128379,0
TR00391,Khlong Toei,Overhead,Commercial,13,1500,83,90,1,59,88,13,113134,0
TR00392,Khlong Toei,Underground,Government,15,500,57,65,1,68,82,2,118028,0
TR00393,Lat Phrao,Underground,Mixed,14,500,71,74,1,90,74,7,109273,0
TR00394,Phaya Thai,Mixed,Residential,11,1500,85,127,2,66,81,2,134420,0
TR00395,Bang Kapi,Overhead,Government,18,750,86,102,4,54,75,9,120875,1
TR00396,Khlong Toei,Overhead,Government,2,250,100,118,1,70,87,6,72597,0
TR00397,Lat Phrao,Underground,Residential,9,500,71,91,2,68,82,3,76616,1
TR00398,Phaya Thai,Mixed,Industrial,12,500,46,81,0,81,76,3,109613,0
TR00399,Thon Buri,Underground,Industrial,14,1000,67,84,1,96,68,2,113089,0
TR00400,Din Daeng,Overhead,Government,12,750,72,99,3,50,78,8,115917,0
TR00401,Lat Phrao,Underground,Residential,12,1500,67,88,0,93,76,0,82051,0
TR00402,Lat Phrao,Underground,Mixed,8,1000,70,84,0,71,81,2,128200,1
TR00403,Bang Kapi,Underground,Industrial,17,2000,83,103,2,69,89,2,150844,1
TR00404,Lat Phrao,Mixed,Industrial,13,2000,85,133,2,57,87,5,118191,0
TR00405,Bang Khen,Mixed,Government,19,250,78,83,0,63,82,6,124698,0
TR00406,Lat Phrao,Underground,Mixed,14,250,66,88,3,67,71,6,94001,1
TR00407,Thon Buri,Overhead,Commercial,2,2000,76,99,4,64,73,2,92112,0
TR00408,Lat Phrao,Mixed,Commercial,7,1000,68,94,0,62,73,5,84665,0
TR00409,Khlong Toei,Mixed,Mixed,10,1000,45,58,2,48,68,3,116332,0
TR00410,Bang Kapi,Overhead,Residential,1,250,75,96,2,74,73,5,81426,0
TR00411,Phaya Thai,Underground,Government,13,2000,55,57,0,67,77,0,81703,0
TR00412,Khlong Toei,Overhead,Residential,11,750,40,66,0,84,67,0,98846,0
TR00413,Bang Kho Laem,Underground,Commercial,13,500,66,75,1,63,72,6,106669,0
TR00414,Din Daeng,Underground,Industrial,19,1500,112,142,5,60,90,2,136003,1
TR00415,Lat Phrao,Underground,Commercial,12,250,59,61,1,81,85,5,118568,0
TR00416,Lat Phrao,Underground,Residential,18,250,78,106,4,48,67,2,140059,0
TR00417,Bang Khen,Underground,Government,34,750,87,102,2,42,67,2,180000,1
TR00418,Bang Kapi,Mixed,Industrial,17,750,82,100,1,57,86,8,149323,0
TR00419,Khlong Toei,Mixed,Industrial,5,750,54,64,2,64,75,2,57936,0
TR00420,Bang Kapi,Underground,Government,21,1500,98,109,2,66,78,4,144400,0
TR00421,Bang Khen,Overhead,Mixed,12,1000,96,110,4,66,83,8,125421,0
TR00422,Din Daeng,Underground,Residential,20,1500,67,92,3,30,82,5,116776,0
TR00423,Din Daeng,Mixed,Commercial,14,750,80,112,1,67,63,0,129630,0
TR00424,Lat Phrao,Mixed,Residential,6,1500,76,95,1,62,78,0,92671,0
TR00425,Bang Kho Laem,Overhead,Commercial,16,750,82,110,4,52,76,5,130758,0
TR00426,Bang Kho Laem,Mixed,Industrial,9,500,92,106,0,80,87,10,124913,0
TR00427,Bang Kho Laem,Mixed,Residential,17,2000,81,104,5,52,78,1,121158,0
TR00428,Khlong Toei,Underground,Government,12,250,60,82,0,93,72,11,102810,0
TR00429,Thon Buri,Mixed,Government,7,750,61,82,0,77,73,4,81092,0
TR00430,Khlong Toei,Overhead,Government,13,1500,74,105,3,58,80,10,103342,1
TR00431,Lat Phrao,Overhead,Government,19,250,62,85,1,58,77,2,122201,0
TR00432,Phaya Thai,Mixed,Mixed,11,1000,66,78,3,73,71,5,120756,1
TR00433,Din Daeng,Mixed,Industrial,19,500,43,47,0,84,65,0,127991,0
TR00434,Phaya Thai,Underground,Government,11,500,76,103,5,57,66,5,146673,0
TR00435,Phaya Thai,Overhead,Government,11,500,47,59,1,71,75,3,95769,0
TR00436,Thon Buri,Underground,Government,12,2000,76,92,3,62,73,8,120172,0
TR00437,Bang Kapi,Underground,Government,8,1500,95,118,2,76,81,5,117624,0
TR00438,Thon Buri,Underground,Government,15,750,78,100,0,79,79,8,151555,0
TR00439,Bang Khen,Overhead,Government,6,1000,71,85,1,67,70,1,123458,0
TR00440,Bang Khen,Underground,Mixed,8,750,34,55,0,55,75,3,87261,0
TR00441,Bang Kho Laem,Underground,Mixed,1,2000,56,62,0,95,74,1,95510,0
TR00442,Thon Buri,Mixed,Residential,8,250,52,64,1,66,62,3,87729,0
TR00443,Din Daeng,Overhead,Industrial,17,1000,94,112,0,55,73,0,104045,0
TR00444,Bang Kho Laem,Underground,Industrial,2,1000,80,102,3,78,81,8,138145,0
TR00445,Bang Kho Laem,Underground,Commercial,7,1000,76,105,1,61,78,1,91547,0
TR00446,Lat Phrao,Mixed,Industrial,13,1500,91,133,3,72,86,4,129949,0
TR00447,Din Daeng,Underground,Commercial,21,250,64,74,1,59,80,0,127053,0
TR00448,Khlong Toei,Mixed,Mixed,8,750,52,75,2,66,80,1,95092,0
TR00449,Khlong Toei,Overhead,Residential,18,2000,66,70,1,55,70,2,126306,0
TR00450,Bang Kapi,Overhead,Residential,12,1000,72,85,1,88,75,3,108393,0
TR00451,Lat Phrao,Overhead,Residential,20,1000,51,77,2,69,67,3,120411,0
TR00452,Din Daeng,Underground,Mixed,20,2000,88,106,4,46,76,4,166369,1
TR00453,Thon Buri,Overhead,Government,12,1500,69,109,4,57,73,2,123978,0
TR00454,Lat Phrao,Mixed,Commercial,10,250,69,99,2,69,78,10,88808,1
TR00455,Bang Kapi,Underground,Commercial,16,2000,93,122,4,50,83,0,130604,1
TR00456,Phaya Thai,Overhead,Commercial,21,250,68,73,3,67,77,0,116637,0
TR00457,Khlong Toei,Overhead,Residential,1,2000,45,53,2,63,71,2,74962,0
TR00458,Din Daeng,Overhead,Mixed,12,2000,47,57,0,84,79,4,73335,0
TR00459,Thon Buri,Underground,Mixed,22,250,52,67,0,54,75,4,107114,0
TR00460,Bang Khen,Overhead,Commercial,1,500,37,61,0,60,72,1,87185,0
TR00461,Din Daeng,Mixed,Residential,4,2000,78,104,2,78,79,4,127708,0
TR00462,Bang Kapi,Overhead,Residential,16,1000,67,83,2,53,76,5,123175,0
TR00463,Khlong Toei,Mixed,Industrial,20,1500,78,84,2,49,78,3,144589,0
TR00464,Thon Buri,Underground,Mixed,6,1000,80,110,3,58,75,10,133102,0
TR00465,Din Daeng,Underground,Government,1,750,57,82,2,72,75,5,84156,0
TR00466,Thon Buri,Underground,Industrial,4,500,79,118,5,62,80,0,99198,1
TR00467,Khlong Toei,Overhead,Residential,16,1500,73,105,1,38,73,3,144963,0
TR00468,Din Daeng,Overhead,Government,5,750,69,85,2,60,74,6,101501,0
TR00469,Lat Phrao,Underground,Industrial,10,750,68,84,1,76,73,0,94858,0
TR00470,Lat Phrao,Underground,Mixed,8,2000,47,55,1,79,71,8,82386,0
TR00471,Bang Khen,Mixed,Government,9,250,60,65,2,66,76,2,93110,0
TR00472,Thon Buri,Mixed,Mixed,14,750,46,61,3,64,80,6,98401,0
TR00473,Bang Kapi,Mixed,Industrial,6,500,67,93,1,78,76,1,103238,0
TR00474,Khlong Toei,Mixed,Commercial,8,1500,69,96,3,60,72,0,117999,1
TR00475,Khlong Toei,Overhead,Commercial,22,500,77,99,2,50,67,6,132623,0
TR00476,Lat Phrao,Underground,Industrial,12,500,78,92,2,52,74,0,135541,1
TR00477,Khlong Toei,Mixed,Government,12,1500,79,86,4,35,82,10,114642,0
TR00478,Bang Kho Laem,Mixed,Commercial,22,750,67,89,2,57,67,7,139342,0
TR00479,Bang Kapi,Underground,Commercial,1,2000,56,86,2,61,69,3,85381,0
TR00480,Din Daeng,Overhead,Government,7,2000,49,81,1,65,67,3,85744,0
TR00481,Phaya Thai,Mixed,Residential,8,2000,66,94,1,99,89,5,107164,0
TR00482,Khlong Toei,Overhead,Commercial,10,750,89,126,4,45,72,5,130655,1
TR00483,Phaya Thai,Underground,Industrial,10,250,63,68,1,63,73,0,91299,0
TR00484,Khlong Toei,Mixed,Mixed,13,2000,70,97,2,64,78,6,103883,0
TR00485,Bang Kapi,Underground,Commercial,1,1500,86,92,0,100,69,0,94044,0
TR00486,Bang Khen,Overhead,Commercial,16,2000,63,85,2,68,71,1,118910,0
TR00487,Bang Khen,Underground,Government,16,2000,66,85,2,48,75,11,123700,0
TR00488,Bang Kapi,Mixed,Government,12,1000,79,95,0,57,88,0,90383,0
TR00489,Thon Buri,Overhead,Mixed,9,250,53,85,1,70,68,5,108392,0
TR00490,Bang Kapi,Underground,Commercial,12,2000,76,88,4,63,80,1,99961,0
TR00491,Thon Buri,Underground,Government,12,500,73,90,0,69,72,5,91508,0
TR00492,Thon Buri,Overhead,Residential,14,2000,72,108,2,62,70,1,140717,0
TR00493,Bang Khen,Overhead,Industrial,1,1000,76,84,1,69,76,12,66313,0
TR00494,Phaya Thai,Overhead,Mixed,8,500,26,44,2,75,54,12,108211,0
TR00495,Thon Buri,Mixed,Commercial,26,750,96,117,3,54,83,8,159209,1
TR00496,Din Daeng,Overhead,Commercial,10,250,59,83,1,80,72,0,118207,0
TR00497,Lat Phrao,Overhead,Mixed,15,250,70,87,0,71,86,2,122785,1
TR00498,Bang Khen,Mixed,Industrial,7,500,32,36,3,56,75,11,93771,0
TR00499,Bang Kapi,Overhead,Industrial,22,2000,79,85,3,41,78,4,122726,0
TR00500,Lat Phrao,Mixed,Mixed,21,1000,103,108,3,48,82,10,90422,1
TR00501,Bang Khen,Mixed,Commercial,14,250,84,120,3,65,79,0,115605,0
TR00502,Lat Phrao,Mixed,Industrial,8,1000,55,84,2,80,81,0,109413,0
TR00503,Bang Kho Laem,Underground,Residential,1,750,78,91,2,72,76,7,89894,0
TR00504,Bang Khen,Overhead,Mixed,1,250,85,99,4,58,88,8,126502,0
TR00505,Din Daeng,Underground,Mixed,25,1000,74,81,2,69,85,6,145956,0
TR00506,Lat Phrao,Mixed,Industrial,21,250,67,85,2,52,76,4,161579,0
TR00507,Thon Buri,Underground,Industrial,15,500,70,90,3,76,87,6,128797,0
TR00508,Thon Buri,Underground,Commercial,19,500,68,94,2,80,79,2,133240,0
TR00509,Phaya Thai,Underground,Mixed,22,750,88,101,3,57,84,4,155327,1
TR00510,Bang Kho Laem,Mixed,Government,13,250,61,57,1,56,78,4,93751,0
TR00511,Thon Buri,Mixed,Government,8,1500,62,103,3,57,76,7,117087,0
TR00512,Bang Kho Laem,Underground,Mixed,18,500,64,92,2,38,68,8,78477,0
TR00513,Din Daeng,Overhead,Industrial,1,750,54,75,3,73,72,8,101157,0
TR00514,Bang Kho Laem,Overhead,Mixed,11,2000,66,84,3,60,83,5,80754,0
TR00515,Lat Phrao,Mixed,Mixed,3,1500,48,82,1,89,77,6,125282,0
TR00516,Phaya Thai,Overhead,Government,13,1000,61,79,1,86,68,2,124024,0
TR00517,Bang Kapi,Overhead,Commercial,14,1500,96,123,3,48,86,7,143557,1
TR00518,Khlong Toei,Underground,Residential,17,1000,76,114,5,46,72,5,135326,1
TR00519,Thon Buri,Mixed,Mixed,13,2000,70,84,1,67,75,7,84620,0
TR00520,Bang Kapi,Overhead,Commercial,20,2000,94,115,6,39,84,0,158657,1
TR00521,Din Daeng,Mixed,Mixed,11,750,64,80,4,53,74,2,124670,0
TR00522,Din Daeng,Mixed,Residential,11,1000,69,82,0,69,80,4,103718,0
TR00523,Thon Buri,Overhead,Mixed,8,500,82,117,3,50,68,9,122303,0
TR00524,Din Daeng,Mixed,Residential,20,500,76,97,1,58,83,6,144388,0
TR00525,Khlong Toei,Overhead,Government,17,750,55,56,2,57,79,0,111524,0
TR00526,Khlong Toei,Mixed,Commercial,15,500,55,80,2,67,82,8,102630,1
TR00527,Phaya Thai,Overhead,Residential,1,250,44,62,1,72,62,2,87383,0
TR00528,Bang Kapi,Overhead,Commercial,16,1000,76,91,0,64,78,6,85900,0
TR00529,Din Daeng,Mixed,Residential,33,750,111,129,1,63,77,3,180000,1
TR00530,Bang Khen,Underground,Mixed,8,2000,63,78,0,74,66,5,102517,0
TR00531,Phaya Thai,Mixed,Government,1,1500,77,111,2,76,72,7,100599,0
TR00532,Lat Phrao,Mixed,Commercial,9,750,70,78,1,60,74,5,105133,0
TR00533,Din Daeng,Mixed,Residential,20,2000,79,90,3,68,76,0,125201,0
TR00534,Bang Khen,Underground,Government,8,750,55,62,1,76,74,9,98071,0
TR00535,Bang Khen,Underground,Residential,9,1500,64,98,1,79,76,0,120429,0
TR00536,Lat Phrao,Overhead,Industrial,24,250,69,88,2,44,85,2,155957,0
TR00537,Khlong Toei,Mixed,Government,4,1500,68,97,2,61,72,10,100060,0
TR00538,Bang Khen,Underground,Government,23,750,51,64,1,76,72,11,109619,0
TR00539,Khlong Toei,Mixed,Mixed,14,1000,65,90,1,59,82,4,152245,0
TR00540,Bang Kho Laem,Underground,Government,12,1000,71,85,4,58,75,6,101832,0
TR00541,Thon Buri,Overhead,Commercial,24,2000,66,94,1,52,77,6,124382,0
TR00542,Bang Kho Laem,Overhead,Mixed,24,1000,75,93,2,62,77,0,130523,1
TR00543,Bang Kho Laem,Underground,Mixed,20,250,96,145,1,63,72,3,150235,0
TR00544,Lat Phrao,Underground,Commercial,11,1500,57,70,1,62,76,2,100731,0
TR00545,Bang Kho Laem,Underground,Mixed,1,2000,51,68,1,96,78,2,64218,0
TR00546,Din Daeng,Mixed,Government,1,2000,71,88,1,71,67,8,86458,0
TR00547,Thon Buri,Underground,Residential,6,750,87,107,5,37,86,8,92977,1
TR00548,Phaya Thai,Mixed,Mixed,9,2000,40,61,1,63,68,5,86823,0
TR00549,Lat Phrao,Overhead,Industrial,2,250,44,67,0,88,71,4,78409,0
TR00550,Bang Kho Laem,Overhead,Residential,10,2000,89,94,2,66,75,3,116281,1
TR00551,Khlong Toei,Underground,Industrial,12,500,54,77,0,65,74,10,116460,0
TR00552,Khlong Toei,Overhead,Government,24,750,96,113,2,48,90,0,131501,0
TR00553,Thon Buri,Underground,Mixed,4,1500,46,49,1,84,73,1,88582,0
TR00554,Thon Buri,Mixed,Industrial,31,750,74,76,1,51,90,5,133193,1
TR00555,Din Daeng,Overhead,Industrial,10,250,65,67,2,61,73,1,78743,0
TR00556,Lat Phrao,Overhead,Mixed,19,250,83,104,3,64,80,4,156095,1
TR00557,Phaya Thai,Overhead,Commercial,13,1500,53,70,0,94,81,2,119175,1
TR00558,Khlong Toei,Mixed,Commercial,14,1000,60,64,1,56,68,1,113989,0
TR00559,Bang Khen,Mixed,Government,12,1000,63,71,2,80,72,6,106856,0
TR00560,Thon Buri,Underground,Residential,1,250,64,89,2,71,71,9,110907,0
TR00561,Thon Buri,Mixed,Government,14,1500,73,81,2,69,73,4,139173,0
TR00562,Khlong Toei,Underground,Industrial,13,1000,82,107,3,62,85,8,124868,1
TR00563,Bang Khen,Mixed,Commercial,15,2000,46,80,0,62,68,0,116623,0
TR00564,Khlong Toei,Mixed,Commercial,1,2000,55,75,2,85,78,2,55115,0
TR00565,Thon Buri,Mixed,Mixed,8,500,33,55,0,65,65,7,93708,0
TR00566,Khlong Toei,Mixed,Residential,12,250,65,86,3,62,79,3,130854,0
TR00567,Phaya Thai,Overhead,Government,19,1000,102,123,3,65,81,6,146969,1
TR00568,Bang Kapi,Mixed,Commercial,8,250,42,55,0,72,62,6,76612,0
TR00569,Lat Phrao,Overhead,Mixed,3,1000,45,55,0,83,71,2,35612,0
TR00570,Thon Buri,Mixed,Industrial,12,1000,48,63,1,69,72,8,94214,0
TR00571,Thon Buri,Overhead,Government,24,250,75,84,2,54,82,3,109374,0
TR00572,Bang Khen,Underground,Government,6,500,60,83,2,81,61,2,109039,0
TR00573,Bang Khen,Mixed,Residential,7,1500,72,79,1,85,80,3,106979,0
TR00574,Bang Kapi,Underground,Residential,3,1500,71,95,1,87,81,6,66176,0
TR00575,Bang Khen,Overhead,Commercial,14,750,85,117,4,58,89,6,122589,0
TR00576,Bang Kho Laem,Overhead,Residential,20,2000,68,80,4,55,77,3,122960,1
TR00577,Bang Kho Laem,Underground,Industrial,13,750,90,99,2,80,86,3,117864,1
TR00578,Din Daeng,Mixed,Commercial,22,1500,90,108,4,35,94,0,120760,1
TR00579,Phaya Thai,Overhead,Industrial,16,250,73,81,1,65,86,6,100764,0
TR00580,Bang Kho Laem,Underground,Residential,5,750,70,90,3,86,76,0,122077,1
TR00581,Thon Buri,Overhead,Industrial,17,500,66,71,2,74,77,9,112329,1
TR00582,Lat Phrao,Mixed,Residential,23,2000,102,131,3,57,80,3,138502,0
TR00583,Khlong Toei,Underground,Government,20,750,56,69,4,59,78,8,132372,1
TR00584,Din Daeng,Underground,Residential,18,1000,78,81,1,42,78,0,121974,0
TR00585,Bang Khen,Underground,Industrial,19,500,63,94,2,66,81,13,139249,0
TR00586,Bang Kho Laem,Mixed,Residential,20,500,88,114,2,51,74,5,135701,0
TR00587,Khlong Toei,Underground,Residential,17,1500,109,140,4,62,77,3,153109,0
TR00588,Lat Phrao,Mixed,Mixed,11,1500,90,118,3,62,78,6,119157,0
TR00589,Thon Buri,Underground,Industrial,26,500,96,101,4,26,82,10,144146,1
TR00590,Bang Kapi,Underground,Industrial,20,250,88,112,3,49,89,6,136638,1
TR00591,Khlong Toei,Mixed,Industrial,21,750,66,66,2,61,75,1,90340,0
TR00592,Bang Khen,Underground,Commercial,1,500,56,53,3,64,78,2,96566,0
TR00593,Thon Buri,Underground,Government,15,1500,57,78,2,61,83,3,109142,0
TR00594,Din Daeng,Mixed,Mixed,7,1000,69,98,4,40,79,0,85997,1
TR00595,Thon Buri,Overhead,Residential,18,250,82,84,3,51,83,4,126560,1
TR00596,Phaya Thai,Overhead,Mixed,9,1500,46,53,1,61,76,2,104614,0
TR00597,Bang Khen,Overhead,Industrial,15,1500,50,57,1,66,70,7,107844,0
TR00598,Din Daeng,Mixed,Commercial,26,2000,60,75,0,76,70,11,121554,0
TR00599,Din Daeng,Underground,Government,8,2000,77,71,0,80,84,3,73864,0
TR00600,Lat Phrao,Overhead,Mixed,16,1000,86,93,1,61,84,5,83767,0
TR00601,Bang Kapi,Underground,Residential,19,1000,98,137,1,72,83,1,161078,0
TR00602,Bang Kho Laem,Mixed,Residential,20,1000,99,111,1,67,79,0,153727,0
TR00603,Khlong Toei,Underground,Government,18,500,94,107,4,73,81,4,128502,1
TR00604,Bang Kho Laem,Overhead,Industrial,8,1500,94,129,3,82,75,0,139267,0
TR00605,Lat Phrao,Overhead,Industrial,6,1000,38,75,3,72,69,0,88000,0
TR00606,Din Daeng,Overhead,Mixed,2,1500,77,104,3,83,76,0,95946,0
TR00607,Bang Khen,Mixed,Mixed,6,1000,70,70,1,69,84,0,105365,0
TR00608,Thon Buri,Mixed,Industrial,2,500,78,112,1,72,73,4,117386,0
TR00609,Thon Buri,Mixed,Industrial,1,250,59,78,1,84,62,11,63440,0
TR00610,Phaya Thai,Mixed,Mixed,8,2000,83,99,3,68,80,1,110279,1
TR00611,Lat Phrao,Underground,Industrial,12,500,90,112,4,55,74,5,87300,0
TR00612,Bang Kho Laem,Underground,Government,6,2000,63,79,3,79,72,0,123235,0
TR00613,Phaya Thai,Mixed,Government,16,250,69,91,4,51,71,6,108978,0
TR00614,Phaya Thai,Overhead,Industrial,1,2000,65,90,0,81,76,4,115688,0
TR00615,Lat Phrao,Underground,Commercial,10,1000,61,77,3,49,75,7,75633,0
TR00616,Thon Buri,Mixed,Commercial,18,750,93,115,3,60,84,10,133396,0
TR00617,Bang Kho Laem,Mixed,Residential,21,2000,85,105,4,48,82,9,144555,1
TR00618,Din Daeng,Mixed,Industrial,13,250,73,85,3,70,79,10,109810,0
TR00619,Bang Kho Laem,Underground,Mixed,1,1500,40,54,1,94,63,9,78069,0
TR00620,Phaya Thai,Mixed,Residential,26,1500,69,81,2,55,92,5,151008,1
TR00621,Phaya Thai,Mixed,Commercial,21,1500,36,45,4,25,79,7,84483,1
TR00622,Khlong Toei,Mixed,Commercial,14,500,76,98,2,56,82,6,117478,0
TR00623,Din Daeng,Mixed,Mixed,18,1500,63,78,1,64,74,1,123036,0
TR00624,Khlong Toei,Mixed,Commercial,13,2000,67,69,0,75,77,7,76336,0
TR00625,Bang Kho Laem,Underground,Government,19,250,84,103,3,76,78,0,150794,0
TR00626,Bang Kapi,Underground,Commercial,7,500,76,76,4,64,69,0,101037,0
TR00627,Bang Khen,Underground,Commercial,18,750,64,87,1,67,80,7,137976,0
TR00628,Bang Kho Laem,Mixed,Mixed,11,500,60,81,0,79,64,1,112855,0
TR00629,Thon Buri,Overhead,Mixed,6,500,44,69,1,61,79,8,75966,0
TR00630,Phaya Thai,Overhead,Industrial,6,2000,62,70,2,69,76,4,102902,0
TR00631,Bang Kho Laem,Overhead,Residential,18,1000,65,87,0,69,69,4,103046,0
TR00632,Lat Phrao,Underground,Industrial,1,1500,43,48,4,75,72,5,73490,0
TR00633,Phaya Thai,Underground,Government,23,1500,49,62,0,60,76,8,114752,0
TR00634,Thon Buri,Underground,Residential,14,750,67,85,1,80,72,2,130640,0
TR00635,Bang Khen,Overhead,Industrial,19,1000,91,98,3,38,90,4,117514,1
TR00636,Phaya Thai,Underground,Industrial,18,1500,62,66,4,65,86,7,113573,0
TR00637,Bang Kho Laem,Overhead,Government,4,750,58,83,2,78,66,4,95459,0
